Id,Neighborhood,OverallQual,YearBuilt,CentralAir,GrLivArea,FullBath,BedroomAbvGr,GarageCars,SalePrice
129,BrkSide,5,1922,N,1092,1,3,1,124000
130,CollgCr,7,2004,Y,1704,2,3,2,213500
131,NAmes,8,1970,Y,1699,1,3,2,180000
132,NAmes,5,1959,Y,1248,1,2,1,170000
133,NAmes,5,1959,Y,1752,2,3,1,141000
134,NridgHt,7,2005,Y,1718,2,3,3,301000
135,NAmes,5,1957,Y,1225,1,3,2,172500
136,Mitchel,5,1993,Y,1362,1,1,2,143000
137,CollgCr,7,2004,Y,1704,2,3,2,213500
138,CollgCr,7,2004,Y,1704,2,3,2,213500
139,Edwards,5,1949,Y,1445,1,3,1,130250
140,BrkSide,5,1927,N,854,1,2,1,68500
141,NridgHt,7,2005,Y,1718,2,3,3,301000
142,OldTown,5,1910,Y,981,1,2,1,107500
143,NridgHt,7,2005,Y,1718,2,3,3,301000
144,CollgCr,7,2003,Y,1710,2,3,2,208500
145,NAmes,5,1951,Y,1600,1,3,2,134800
146,NridgHt,7,2005,Y,1718,2,3,3,301000
147,CollgCr,7,2001,Y,1786,2,3,2,223500
148,Edwards,4,1953,Y,1366,1,3,1,141500
149,CollgCr,7,2005,Y,1547,2,3,2,185000
150,NAmes,5,1951,Y,1600,1,3,2,134800
151,OldTown,7,1931,Y,1774,2,2,2,129900
152,NridgHt,7,2005,Y,1718,2,3,3,301000
153,NAmes,5,1955,Y,1092,1,3,1,147000
154,CollgCr,7,2000,Y,1593,2,3,2,177000
155,Edwards,5,1949,Y,1445,1,3,1,130250
156,Somerst,7,2002,Y,1158,2,3,2,239000
157,BrkSide,5,1922,N,1092,1,3,1,124000
158,Edwards,5,1918,N,1034,1,2,1,85000
159,Somerst,8,2006,Y,1608,2,3,2,284000
160,NridgHt,7,2005,Y,1718,2,3,3,301000
161,Somerst,8,2004,Y,2945,2,3,3,438780
162,Somerst,8,2006,Y,1608,2,3,2,284000
163,NridgHt,9,2005,Y,2324,3,4,3,345000
164,NAmes,5,1953,Y,1253,2,3,1,109000
165,Veenker,6,1976,Y,1262,2,3,2,181500
166,CollgCr,7,2001,Y,1786,2,3,2,223500
167,ClearCr,6,1957,Y,1309,1,3,2,170000
168,BrkSide,5,1922,N,1092,1,3,1,124000
169,Veenker,6,1976,Y,1262,2,3,2,181500
170,Veenker,6,1976,Y,1262,2,3,2,181500
171,BrkSide,5,1920,Y,1013,1,3,1,138000
172,CollgCr,7,2003,Y,1710,2,3,2,208500
173,Edwards,5,1958,Y,1296,1,3,1,141000
174,Veenker,6,1976,Y,1262,2,3,2,181500
175,SWISU,6,1963,Y,1547,2,3,2,110000
176,Edwards,5,1949,Y,1445,1,3,1,130250
177,Edwards,5,1918,N,1034,1,2,1,85000
178,Edwards,4,1953,Y,1366,1,3,1,141500
179,Edwards,5,1918,N,1034,1,2,1,85000
180,OldTown,6,1945,Y,1360,1,3,2,143000
181,NAmes,5,1955,Y,1320,1,3,2,180500
182,OldTown,5,1910,Y,981,1,2,1,107500
183,ClearCr,6,1957,Y,1309,1,3,2,170000
184,CollgCr,6,2009,Y,1028,1,2,2,149900
185,CollgCr,7,1990,Y,1297,1,3,2,153000
186,Somerst,7,2002,Y,1158,2,3,2,239000
187,ClearCr,7,1953,Y,1503,1,3,2,225000
188,Edwards,4,1953,Y,1366,1,3,1,141500
189,Sawyer,5,1965,Y,1040,1,3,1,129500
190,OldTown,7,1929,Y,1600,1,2,1,132000
191,NAmes,5,1951,Y,1290,1,2,2,144500
192,BrkSide,5,1922,N,1092,1,3,1,124000
193,Edwards,4,1953,Y,1366,1,3,1,141500
194,CollgCr,7,2001,Y,1786,2,3,2,223500
195,NWAmes,6,1978,Y,1114,1,3,2,147500
196,BrkSide,5,1922,N,1092,1,3,1,124000
197,CollgCr,7,2004,Y,1560,2,3,2,189000
198,Edwards,5,1958,Y,1296,1,3,1,141000
199,NridgHt,8,2003,Y,1735,1,3,3,226000
200,Edwards,5,1958,Y,1296,1,3,1,141000
201,NWAmes,6,1978,Y,1114,1,3,2,147500
202,OldTown,6,1920,N,1040,1,3,2,80000
203,Somerst,8,2006,Y,1608,2,3,2,284000
204,CollgCr,7,2005,Y,1456,2,3,2,179900
205,OldTown,4,1920,Y,1152,2,2,1,82000
206,NAmes,5,1953,Y,1253,2,3,1,109000
207,CollgCr,7,2003,Y,1710,2,3,2,208500
208,Sawyer,5,1965,Y,1040,1,3,1,129500
209,NAmes,5,1957,Y,1225,1,3,2,172500
210,OldTown,4,1932,Y,1235,1,3,1,127000
211,Mitchel,6,1994,Y,1328,1,3,2,145500
212,SWISU,4,1957,Y,1258,1,3,1,130000
213,NAmes,5,1959,Y,1248,1,2,1,170000
214,Somerst,7,2004,Y,1694,2,3,2,307000
215,OldTown,7,1929,Y,1600,1,2,1,132000
216,OldTown,6,1922,Y,1316,1,3,1,118000
217,Veenker,6,1976,Y,1262,2,3,2,181500
218,CollgCr,7,2003,Y,1710,2,3,2,208500
219,NAmes,5,1966,Y,1616,1,3,2,128000
220,NridgHt,9,2005,Y,2324,3,4,3,345000
221,ClearCr,7,1953,Y,1503,1,3,2,225000
222,NAmes,5,1955,Y,1092,1,3,1,147000
223,Edwards,5,1918,N,1034,1,2,1,85000
224,OldTown,7,1931,Y,1774,2,2,2,129900
225,Edwards,5,1958,Y,1296,1,3,1,141000
226,NAmes,5,1966,Y,1616,1,3,2,128000
227,CollgCr,7,2001,Y,1786,2,3,2,223500
228,NWAmes,6,1978,Y,1114,1,3,2,147500
229,Somerst,7,2002,Y,1158,2,3,2,239000
230,BrkSide,5,1920,Y,1013,1,3,1,138000
231,CollgCr,7,2005,Y,1456,2,3,2,179900
232,Somerst,7,2002,Y,1158,2,3,2,239000
233,OldTown,5,1910,Y,981,1,2,1,107500
234,CollgCr,7,2005,Y,1547,2,3,2,185000
235,CollgCr,7,2004,Y,1560,2,3,2,189000
236,CollgCr,7,1990,Y,1297,1,3,2,153000
237,Sawyer,5,1968,Y,1060,1,3,1,154000
238,Somerst,8,2009,Y,1629,2,3,2,325000
239,NAmes,8,1970,Y,1699,1,3,2,180000
240,BrkSide,5,1920,Y,1013,1,3,1,138000
241,NridgHt,9,2004,Y,2411,3,4,3,309000
242,CollgCr,5,2001,Y,1456,1,3,2,158000
243,CollgCr,6,1977,Y,1108,1,3,2,160000
244,CollgCr,7,2005,Y,1456,2,3,2,179900
245,OldTown,6,1945,Y,1360,1,3,2,143000
246,CollgCr,7,2005,Y,1456,2,3,2,179900
247,NWAmes,6,1971,Y,1494,2,3,2,171000
248,NAmes,5,1969,Y,1339,1,3,1,139000
249,NAmes,5,1966,Y,1616,1,3,2,128000
250,NWAmes,6,1978,Y,1114,1,3,2,147500
251,NWAmes,6,1973,Y,2090,2,3,2,200000
252,Somerst,7,2004,Y,1694,2,3,2,307000
253,NridgHt,8,2003,Y,1735,1,3,3,226000
254,CollgCr,6,2009,Y,1028,1,2,2,149900
255,CollgCr,7,2005,Y,1456,2,3,2,179900
256,NAmes,5,1966,Y,1616,1,3,2,128000
257,BrkSide,5,1922,N,1092,1,3,1,124000
258,NridgHt,9,2005,Y,2338,2,3,3,311500
259,BrkSide,5,1927,N,854,1,2,1,68500
260,CollgCr,7,1990,Y,1297,1,3,2,153000
261,CollgCr,7,2000,Y,1593,2,3,2,177000
262,BrkSide,5,1920,Y,1013,1,3,1,138000
263,NWAmes,6,1973,Y,2090,2,3,2,200000
264,NAmes,5,1951,Y,1600,1,3,2,134800
265,NAmes,5,1951,Y,1600,1,3,2,134800
266,NAmes,5,1969,Y,1339,1,3,1,139000
267,BrkSide,5,1927,N,854,1,2,1,68500
268,CollgCr,7,2004,Y,1704,2,3,2,213500
269,CollgCr,6,1998,Y,1473,2,3,2,219500
270,ClearCr,7,1953,Y,1503,1,3,2,225000
271,CollgCr,5,2001,Y,1456,1,3,2,158000
272,NAmes,5,1966,Y,1616,1,3,2,128000
273,Edwards,5,1958,Y,1296,1,3,1,141000
274,Crawfor,7,1915,Y,1717,1,3,3,140000
275,NridgHt,9,2004,Y,2411,3,4,3,309000
276,CollgCr,6,1998,Y,1473,2,3,2,219500
277,Edwards,4,1920,Y,942,1,3,0,113000
278,CollgCr,6,2009,Y,1028,1,2,2,149900
279,Edwards,5,1949,Y,1445,1,3,1,130250
280,BrkSide,5,1927,N,854,1,2,1,68500
281,Somerst,7,2003,Y,1844,2,2,2,242000
282,Mitchel,5,1993,Y,1362,1,1,2,143000
283,NAmes,5,1955,Y,1092,1,3,1,147000
284,Somerst,7,2002,Y,1158,2,3,2,239000
285,Somerst,7,2003,Y,1844,2,2,2,242000
286,SWISU,6,1963,Y,1547,2,3,2,110000
287,OldTown,6,1922,Y,1316,1,3,1,118000
288,OldTown,9,1921,Y,1210,2,3,1,140000
289,Edwards,5,1918,N,1034,1,2,1,85000
290,CollgCr,7,2005,Y,1456,2,3,2,179900
291,NridgHt,8,2003,Y,1735,1,3,3,226000
292,Somerst,8,2009,Y,1629,2,3,2,325000
293,Sawyer,5,1968,Y,1060,1,3,1,154000
294,BrkSide,5,1920,Y,1013,1,3,1,138000
295,Somerst,8,2004,Y,2945,2,3,3,438780
296,NridgHt,8,2003,Y,1735,1,3,3,226000
297,Somerst,7,2003,Y,1844,2,2,2,242000
298,Somerst,7,2002,Y,1158,2,3,2,239000
299,Edwards,5,1918,N,1034,1,2,1,85000
300,NWAmes,6,1966,Y,1674,1,3,2,210000
301,Mitchel,6,1994,Y,1328,1,3,2,145500
302,NAmes,8,1970,Y,1699,1,3,2,180000
303,NAmes,5,1951,Y,1600,1,3,2,134800
304,Veenker,6,1976,Y,1262,2,3,2,181500
305,CollgCr,6,2009,Y,1028,1,2,2,149900
306,CollgCr,7,2005,Y,1456,2,3,2,179900
307,OldTown,7,1931,Y,1774,2,2,2,129900
308,CollgCr,7,2008,Y,1447,2,3,2,204000
309,NAmes,5,1966,Y,1616,1,3,2,128000
310,NAmes,5,1953,Y,1253,2,3,1,109000
311,NAmes,5,1959,Y,1248,1,2,1,170000
312,NridgHt,9,2007,Y,1603,2,3,3,256300
313,OldTown,4,1932,Y,1235,1,3,1,127000
314,Sawyer,5,1968,Y,1060,1,3,1,154000
315,Somerst,7,2002,Y,1158,2,3,2,239000
316,Sawyer,5,1962,Y,912,1,2,1,144000
317,OldTown,6,1922,Y,1316,1,3,1,118000
318,Somerst,7,2004,Y,1694,2,3,2,307000
319,NAmes,5,1957,Y,1225,1,3,2,172500
320,CollgCr,7,2004,Y,1560,2,3,2,189000
321,NAmes,5,1959,Y,1752,2,3,1,141000
322,NWAmes,6,1978,Y,1114,1,3,2,147500
323,NridgHt,9,2004,Y,2422,2,3,3,317000
324,NWAmes,6,1973,Y,2090,2,3,2,200000
325,OldTown,7,1929,Y,1600,1,2,1,132000
326,NWAmes,6,1971,Y,1494,2,3,2,171000
327,NAmes,7,2006,Y,1253,1,2,2,246500
328,NAmes,8,1970,Y,1699,1,3,2,180000
329,Edwards,5,1918,N,1034,1,2,1,85000
330,OldTown,9,1921,Y,1210,2,3,1,140000
331,CollgCr,7,2000,Y,1593,2,3,2,177000
332,Sawyer,5,1968,Y,1060,1,3,1,154000
333,Somerst,8,2004,Y,2945,2,3,3,438780
334,OldTown,9,1921,Y,1210,2,3,1,140000
335,NridgHt,7,2005,Y,1718,2,3,3,301000
336,NridgHt,9,2005,Y,2338,2,3,3,311500
337,Somerst,8,2004,Y,2945,2,3,3,438780
338,Somerst,8,2004,Y,2945,2,3,3,438780
339,Edwards,4,1920,Y,942,1,3,0,113000
340,Somerst,8,2006,Y,1608,2,3,2,284000
341,NAmes,5,1959,Y,1248,1,2,1,170000
342,Edwards,4,1953,Y,1366,1,3,1,141500
343,NAmes,7,2006,Y,1253,1,2,2,246500
344,BrkSide,5,1920,Y,1013,1,3,1,138000
345,OldTown,6,1922,Y,1316,1,3,1,118000
346,NWAmes,6,1973,Y,2090,2,3,2,200000
347,SWISU,6,1963,Y,1547,2,3,2,110000
348,OldTown,6,1922,Y,1316,1,3,1,118000
349,NoRidge,8,2000,Y,2198,2,4,3,250000
350,OldTown,6,1945,Y,1360,1,3,2,143000
351,Mitchel,5,1993,Y,1362,1,1,2,143000
352,NWAmes,6,1966,Y,1674,1,3,2,210000
353,NAmes,5,1955,Y,1320,1,3,2,180500
354,OldTown,4,1920,Y,1152,2,2,1,82000
355,Somerst,8,2006,Y,1608,2,3,2,284000
356,OldTown,7,1929,Y,1600,1,2,1,132000
357,Sawyer,5,1962,Y,912,1,2,1,144000
358,BrkSide,5,1927,N,854,1,2,1,68500
359,Edwards,5,1958,Y,1296,1,3,1,141000
360,CollgCr,6,2009,Y,1028,1,2,2,149900
361,OldTown,9,1921,Y,1210,2,3,1,140000
362,Edwards,5,1958,Y,1296,1,3,1,141000
363,Somerst,8,2004,Y,2945,2,3,3,438780
364,NAmes,5,1955,Y,1320,1,3,2,180500
365,NridgHt,7,2005,Y,1718,2,3,3,301000
366,Mitchel,6,1994,Y,1328,1,3,2,145500
367,OldTown,7,1931,Y,1774,2,2,2,129900
368,NridgHt,9,2005,Y,2324,3,4,3,345000
369,CollgCr,7,2003,Y,1710,2,3,2,208500
370,Somerst,8,2004,Y,2945,2,3,3,438780
371,CollgCr,7,2003,Y,1710,2,3,2,208500
372,Somerst,8,2002,Y,1502,2,3,2,230000
373,NAmes,5,1966,Y,1616,1,3,2,128000
374,CollgCr,7,2003,Y,1710,2,3,2,208500
375,OldTown,7,1929,Y,1600,1,2,1,132000
376,CollgCr,5,2001,Y,1456,1,3,2,158000
377,CollgCr,6,1998,Y,1473,2,3,2,219500
378,OldTown,9,1921,Y,1210,2,3,1,140000
379,ClearCr,7,1953,Y,1503,1,3,2,225000
380,NridgHt,9,2005,Y,2338,2,3,3,311500
381,NridgHt,8,2003,Y,1735,1,3,3,226000
382,NridgHt,9,2007,Y,1603,2,3,3,256300
383,OldTown,7,1929,Y,1600,1,2,1,132000
384,CollgCr,7,2000,Y,1593,2,3,2,177000
385,NAmes,5,1957,Y,1225,1,3,2,172500
386,NridgHt,9,2008,Y,1619,2,3,3,315750
387,ClearCr,7,1953,Y,1503,1,3,2,225000
388,NWAmes,6,1966,Y,1674,1,3,2,210000
389,NridgHt,7,2005,Y,1718,2,3,3,301000
390,ClearCr,7,1953,Y,1503,1,3,2,225000
391,OldTown,7,1929,Y,1600,1,2,1,132000
392,NAmes,5,1966,Y,1616,1,3,2,128000
393,NAmes,5,1953,Y,1253,2,3,1,109000
394,CollgCr,7,2005,Y,1456,2,3,2,179900
395,Mitchel,6,1994,Y,1328,1,3,2,145500
396,BrkSide,5,1939,Y,1077,1,2,1,118000
397,ClearCr,7,1953,Y,1503,1,3,2,225000
398,Somerst,8,2002,Y,1502,2,3,2,230000
399,Somerst,8,2006,Y,1608,2,3,2,284000
400,BrkSide,5,1939,Y,1077,1,2,1,118000
401,Edwards,5,1958,Y,1296,1,3,1,141000
402,Somerst,8,2004,Y,2945,2,3,3,438780
403,CollgCr,7,2003,Y,1710,2,3,2,208500
404,ClearCr,7,1953,Y,1503,1,3,2,225000
405,Crawfor,7,1915,Y,1717,1,3,3,140000
406,OldTown,7,1929,Y,1600,1,2,1,132000
407,Somerst,7,2002,Y,1158,2,3,2,239000
408,Veenker,6,1976,Y,1262,2,3,2,181500
409,Edwards,5,1918,N,1034,1,2,1,85000
410,Somerst,7,2002,Y,1158,2,3,2,239000
411,NridgHt,9,2005,Y,2324,3,4,3,345000
412,OldTown,4,1932,Y,1235,1,3,1,127000
413,NridgHt,9,2004,Y,2411,3,4,3,309000
414,CollgCr,7,2005,Y,1456,2,3,2,179900
415,CollgCr,7,2005,Y,1456,2,3,2,179900
416,CollgCr,5,2001,Y,1456,1,3,2,158000
417,CollgCr,7,2000,Y,1593,2,3,2,177000
418,CollgCr,7,2008,Y,1447,2,3,2,204000
419,NridgHt,9,2005,Y,2324,3,4,3,345000
420,NridgHt,8,2003,Y,1735,1,3,3,226000
421,NridgHt,9,2004,Y,2422,2,3,3,317000
422,CollgCr,7,2005,Y,1456,2,3,2,179900
423,OldTown,4,1920,Y,1152,2,2,1,82000
424,ClearCr,6,1952,Y,1484,2,3,2,137000
425,CollgCr,7,2008,Y,1447,2,3,2,204000
426,Edwards,5,1949,Y,1445,1,3,1,130250
427,NridgHt,9,2008,Y,1619,2,3,3,315750
428,Sawyer,5,1962,Y,912,1,2,1,144000
429,NridgHt,9,2005,Y,2324,3,4,3,345000
430,Somerst,7,2003,Y,1844,2,2,2,242000
431,Veenker,6,1976,Y,1262,2,3,2,181500
432,NridgHt,9,2004,Y,2411,3,4,3,309000
433,NWAmes,6,1973,Y,2090,2,3,2,200000
434,NridgHt,9,2007,Y,1603,2,3,3,256300
435,ClearCr,6,1952,Y,1484,2,3,2,137000
436,Somerst,8,2002,Y,1502,2,3,2,230000
437,Somerst,7,2004,Y,1694,2,3,2,307000
438,OldTown,6,1945,Y,1360,1,3,2,143000
439,Somerst,8,2004,Y,2945,2,3,3,438780
440,OldTown,5,1910,Y,981,1,2,1,107500
441,NridgHt,9,2008,Y,1619,2,3,3,315750
442,CollgCr,7,2004,Y,1560,2,3,2,189000
443,NAmes,5,1969,Y,1339,1,3,1,139000
444,CollgCr,7,2004,Y,1560,2,3,2,189000
445,BrkSide,5,1939,Y,1077,1,2,1,118000
446,NAmes,5,1951,Y,1290,1,2,2,144500
447,Somerst,7,2002,Y,1158,2,3,2,239000
448,CollgCr,6,1998,Y,1473,2,3,2,219500
449,Edwards,4,1920,Y,942,1,3,0,113000
450,CollgCr,7,2004,Y,1560,2,3,2,189000
451,Somerst,7,2002,Y,1158,2,3,2,239000
452,Mitchel,6,1994,Y,1328,1,3,2,145500
453,NridgHt,7,2005,Y,1718,2,3,3,301000
454,NAmes,5,1955,Y,1092,1,3,1,147000
455,NridgHt,9,2005,Y,2324,3,4,3,345000
456,NAmes,5,1955,Y,1320,1,3,2,180500
457,Sawyer,5,1962,Y,912,1,2,1,144000
458,Mitchel,6,1994,Y,1328,1,3,2,145500
459,BrkSide,5,1927,N,854,1,2,1,68500
460,CollgCr,6,2009,Y,1028,1,2,2,149900
461,NridgHt,7,2005,Y,1718,2,3,3,301000
462,Sawyer,5,1962,Y,912,1,2,1,144000
463,BrkSide,5,1922,N,1092,1,3,1,124000
464,Edwards,5,1958,Y,1296,1,3,1,141000
465,Edwards,4,1920,Y,942,1,3,0,113000
466,NridgHt,9,2005,Y,2324,3,4,3,345000
467,CollgCr,5,2001,Y,1456,1,3,2,158000
468,Edwards,5,1958,Y,1296,1,3,1,141000
469,OldTown,7,1931,Y,1774,2,2,2,129900
470,OldTown,6,1920,N,1040,1,3,2,80000
471,CollgCr,7,2004,Y,1704,2,3,2,213500
472,Somerst,8,2006,Y,1608,2,3,2,284000
473,OldTown,7,1929,Y,1600,1,2,1,132000
474,ClearCr,7,1953,Y,1503,1,3,2,225000
475,NridgHt,9,2005,Y,2324,3,4,3,345000
476,Sawyer,5,1968,Y,1060,1,3,1,154000
477,Somerst,8,2006,Y,1608,2,3,2,284000
478,SWISU,6,1963,Y,1547,2,3,2,110000
479,Mitchel,6,1994,Y,1328,1,3,2,145500
480,OldTown,7,1929,Y,1600,1,2,1,132000
481,NAmes,5,1957,Y,1225,1,3,2,172500
482,NAmes,5,1953,Y,1253,2,3,1,109000
483,SWISU,6,1963,Y,1547,2,3,2,110000
484,NAmes,5,1959,Y,1248,1,2,1,170000
485,Somerst,8,2004,Y,2945,2,3,3,438780
486,NAmes,5,1953,Y,1253,2,3,1,109000
487,NWAmes,6,1971,Y,1494,2,3,2,171000
488,NoRidge,8,2000,Y,2198,2,4,3,250000
489,NridgHt,9,2004,Y,2411,3,4,3,309000
490,OldTown,5,1910,Y,981,1,2,1,107500
491,Somerst,8,2009,Y,1629,2,3,2,325000
492,OldTown,7,1931,Y,1774,2,2,2,129900
493,ClearCr,6,1952,Y,1484,2,3,2,137000
494,Somerst,8,2004,Y,2945,2,3,3,438780
495,CollgCr,6,2009,Y,1028,1,2,2,149900
496,Somerst,7,2004,Y,1694,2,3,2,307000
497,Somerst,7,2003,Y,1844,2,2,2,242000
498,Sawyer,5,1962,Y,912,1,2,1,144000
499,OldTown,4,1920,Y,1152,2,2,1,82000
500,NAmes,5,1959,Y,1248,1,2,1,170000
501,OldTown,7,1931,Y,1774,2,2,2,129900
502,OldTown,4,1932,Y,1235,1,3,1,127000
503,NAmes,5,1951,Y,1600,1,3,2,134800
504,NAmes,8,1970,Y,1699,1,3,2,180000
505,NoRidge,8,2000,Y,2198,2,4,3,250000
506,NridgHt,9,2008,Y,1619,2,3,3,315750
